scientificName,commonName,groupName,Season
Cercis canadensis,Redbud,Cercis canadensis,Spring
Liriodendron tulipifera,Tulip Poplar,Liriodendron tulipifera,Spring
Robinia pseudoacacia,Black Locust,Robinia pseudoacacia,Spring
Salix discolor,Pussy Willow,Salix discolor,Spring
Salix spp,Salix,Salix spp,Spring
Malus spp,Apple,Malus spp,Spring
Tilia spp,Linden/basswood,Tilia spp,Spring
Lonicera spp,Bush honey suckle,Lonicera spp,Spring
Elaeagnus angustifolia,Russian/autumn olive,Elaeagnus spp,Spring
Acer spp,Maple,Acer spp,Spring
Taraxacum officinale,Dandilion,Taraxacum officinale,Spring
Prunus spp,"cherry, plum, peach/nectarine",Prunus spp,Spring
Aesculus hippocastanum,Buckeye/horse chestnut,Aesculus hippocastanum,Spring
Catalpa spp,Catalpa,Catalpa spp,Spring
Rosa rugosa,Rugosa rose,Rosa spp,Spring
Rosa multiflora,Multiflora rose,Rosa spp,Spring
Castanea spp,Chestnut,Castanea spp,Spring
Oxydendrum arboretum,Sourwood,Oxydendrum arboretum,Spring
Viburnum spp,Viburnum,Viburnum spp,Spring
Sambucus spp,Elderberry,Sambucus spp,Spring
Raphanus spp,Radish,Raphanus spp,Spring
Rubus spp,raspberries,Rubus spp,Summer
Tilia americana,,Tilia americana,Summer
Liriodendron tulipifera,Tulip Poplar,Liriodendron tulipifera,Summer
Ailanthus altissima,Tree of Heaven,Ailanthus altissima,Summer
Ilex opaca,American holly,Ilex spp,Summer
Ilex verticillata,Winterberry,Ilex spp,Summer
Ilex glabra,Inkberry,Ilex spp,Summer
Asclepias syriaca,Common milkweed,Asclepias spp,Summer
Asclepias incarnata,Swamp milkweed,Asclepias spp,Summer
Asclepias tuberosa,Butterfly weed,Asclepias spp,Summer
Itea virginica,Sweetspire,Itea virginica,Summer
Pycnanthemum muticum,Mountain mint,Pycnanthemum spp,Summer
Pycnanthemum virginianum,Virginia mountain mint,Pycnanthemum spp,Summer
Pycnanthemum incanum,Hoary mountain mint,Pycnanthemum spp,Summer
Pycnanthemum flexuosum,Appalachian mountain mint,Pycnanthemum spp,Summer
Verbesina alternifolia,Wingstem,Verbesina alternifolia,Summer
Trifolium repens,White clover,Trifolium repens,Summer
Melilotus spp,Sweet clover,Melilotus spp,Summer
Helianthus,Sunflowers,Helianthus spp,Summer
Heliopsis,False sunflowers,Heliopsis spp,Summer
Convolvulus arvensis,Bindweed,Convolvulus arvensis,Summer
Rhus spp,Sumacs,Rhus spp,Summer
Fagopyrum esculentum,Buckwheat,Fagopyrum esculentum,Summer
Artemisia spp,Artemisia,Artemisia spp,Summer
Plantago major,Plantain,Plantago major,Summer
Solidago spp,Goldenrod,Solidago spp,Fall
Symphyotrichum spp,Aster,Symphyotrichum spp,Fall
Cucurbita pepo,Pumpkin,Cucurbita pepo,Fall
Artemisia spp,Artemisia,Artemisia spp,Fall